Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Talk Talk (1997 - Remaster)	Talk Talk	Ed Hollis & Mark Hollis	The Party's Over						Rock	7694957	203	1	1	1	9	1982	3/1/2019 3:04 AM	2/22/2019 1:52 PM	256	44100		Apple Music AAC audio file			4	3/9/2019 4:31 AM	3	3/7/2019 5:16 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Talk Talk\The Party's Over\01 Talk Talk (1997 - Remaster).m4p
Nocturnal Me	Echo & The Bunnymen	De freitas, McCulloch, Pattinson & Sergeant	Ocean Rain (Deluxe Version)						Pop	10336802	297	1	1	2	17	1984	2/28/2019 9:10 PM	2/27/2019 12:03 AM	256	44100		Apple Music AAC audio file			3	3/11/2019 9:20 PM	2	3/8/2019 8:58 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Echo & The Bunnymen\Ocean Rain (Deluxe Version)\02 Nocturnal Me.m4p
Transmission (2010 Remastered Version)	Joy Division	Bernard Sumner, Ian Curtis, Peter Hook & Stephen Morris	Substance						Rock	8457955	217	1	1	5	19	1977	3/3/2019 2:08 PM	2/26/2019 11:04 PM	256	44100		Apple Music AAC audio file			3	3/13/2019 4:42 PM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Substance\05 Transmission (2010 Remastered Ver.m4p
One Night in Bangkok	Murray Head	Benny Andersson, Björn Ulvaeus & Tim Rice	Emotions (My Favourite Songs)						Pop	8278568	236	1	1	9	15	2001	3/1/2019 8:55 AM	2/28/2019 10:02 PM	256	44100		Apple Music AAC audio file			16	3/11/2019 4:11 PM	1	3/4/2019 4:43 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Murray Head\Emotions (My Favourite Songs)\09 One Night in Bangkok.m4p
Major Tom (Coming Home) [Director's Cut]	Peter Schilling	Pierre Schilling & David Lodge	Major Tom (Coming Home) - Single						Pop	8892737	248	1	1	1	2	1983	3/4/2019 3:43 PM	2/28/2019 11:21 PM	256	44100		Apple Music AAC audio file			15	3/9/2019 11:35 AM	1	3/4/2019 4:15 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Peter Schilling\Major Tom (Coming Home) - Single\01 Major Tom (Coming Home) [Director.m4p
Words	Missing Persons		Spring Session M						Rock	9940742	267	1	1	9	12	1982	3/4/2019 8:55 PM	3/4/2019 4:12 PM	256	44100		Apple Music AAC audio file			9	3/9/2019 10:11 AM	3	3/10/2019 7:19 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Missing Persons\Spring Session M\09 Words.m4p
Kids In America	Kim Wilde		Kim Wilde						Pop	7680328	205	1	1	5	13	1981	3/4/2019 4:54 PM	3/4/2019 4:54 PM	256	44100		Apple Music AAC audio file			6	3/11/2019 3:57 PM			
Total Eclipse of the Heart	Bonnie Tyler	Jim Steinman	Faster Than the Speed of Night						Pop	15072461	417	1	1	4	9	1983	3/7/2019 2:53 PM	3/7/2019 2:53 PM	256	44100		Apple Music AAC audio file			9	3/10/2019 9:24 PM	1	3/7/2019 7:53 PM	
Flashdance...What a Feeling (Radio Edit)	Irene Cara	Irene Cara, Giorgio G. Moroder & Keith Forsey	What a Feelin'						Pop	8501773	237	1	1	1	15	1983	3/9/2019 1:08 PM	3/9/2019 1:08 PM	256	44100		Apple Music AAC audio file			2	3/9/2019 4:13 PM	2	3/10/2019 9:52 PM	
And We Danced	The Hooters	Eric Bazilian & Rob Hyman	Nervous Night						Pop	8083472	228	1	1	1	10	1985	3/9/2019 12:16 PM	3/9/2019 12:16 PM	256	44100		Apple Music AAC audio file							
Heart of Glass	Blondie	Deborah Harry & Chris Stein	Parallel Lines						Pop	8763053	229	1	1	10	12	1978	3/9/2019 1:19 PM	3/9/2019 1:19 PM	256	44100		Apple Music AAC audio file					1	3/9/2019 3:25 PM	
She Works Hard For the Money	Donna Summer	Donna Summer & Michael Omartian	She Works Hard For the Money						Dance	11972771	320	1	1	1	9	1983	3/9/2019 2:10 PM	3/9/2019 2:10 PM	256	44100		Apple Music AAC audio file			1	3/9/2019 3:36 PM	1	3/11/2019 9:58 AM	
Mexican Radio	Wall of Voodoo	Charles Gray, Stan Ridgway, Mark Moreland & Oliver Nanini	Mexican Radio - Single						Indie Rock	8830436	251	1	1	1	1	1982	3/9/2019 1:13 PM	3/9/2019 1:13 PM	256	44100		Apple Music AAC audio file							
That's All	Genesis	Mike Rutherford, Phil Collins & Tony Banks	Genesis (Remastered)						Rock	9170316	264	1	1	2	9	1983	3/9/2019 2:24 PM	3/9/2019 2:24 PM	256	44100		Apple Music AAC audio file			5	3/13/2019 4:47 PM	2	3/13/2019 4:43 PM	
Little Lies (Remastered)	Fleetwood Mac	Christine McVie & Eddy Quintela	Tango In the Night (Remastered)						Pop	8726185	221	1	1	7	12	1987	3/10/2019 8:45 PM	3/10/2019 8:45 PM	256	44100		Apple Music AAC audio file			4	3/13/2019 4:51 PM			
In the Air Tonight	Phil Collins	Phil Collins	Face Value (Remastered)						Rock	11899979	335	1	1	1	12	1981	3/10/2019 8:59 PM	3/10/2019 8:59 PM	256	44100		Apple Music AAC audio file			3	3/13/2019 4:06 PM			
I'm Free (Heaven Helps the Man)	Kenny Loggins	K. LOGGINS & D. Pitchford	Footloose (Original Motion Picture Soundtrack)						Pop	8809973	226	1	1	6	9	1984	3/10/2019 9:09 PM	3/10/2019 9:09 PM	256	44100		Apple Music AAC audio file			3	3/11/2019 10:11 AM			
Psycho Killer	Talking Heads	Chris Frantz, David Byrne & Tina Weymouth	Talking Heads 77 (Deluxe Version)						Rock	9569929	261	1	1	10	16	1977	5/22/2018 12:25 PM	5/22/2018 12:25 PM	256	44100		Apple Music AAC audio file			5	3/13/2019 11:47 AM	1	7/10/2018 11:18 AM	
Twilight Zone	Golden Earring		Cut						Rock	17943383	478	1	1	6	8	1982	3/13/2019 2:12 AM	3/13/2019 2:12 AM	256	44100		Apple Music AAC audio file			3	3/13/2019 3:56 PM	1	3/13/2019 11:42 AM	
Everybody Wants to Rule the World	Tears for Fears	Ian Stanley, Roland Orzabal & Christopher Merrick Hughes	Songs from the Big Chair						Pop	9391191	251	1	1	3	8	1985	3/13/2019 11:34 AM	3/13/2019 11:34 AM	256	44100		Apple Music AAC audio file			2	3/13/2019 4:00 PM			
