Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Wasted Years (2015 Remastered Version)	Iron Maiden	Adrian Smith	Somewhere in Time (2015 Remastered Edition)						Metal	11701608	309	1	1	2	8	1986	2/28/2019 9:05 PM	4/4/2018 9:30 AM	256	44100		Apple Music AAC audio file			6	3/9/2019 5:49 AM	3	2/26/2019 11:35 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Iron Maiden\Somewhere in Time (2015 Remastered Editi\02 Wasted Years (2015 Remastered Ver.m4p
One Way or Another	Blondie	Debbie Harry & Nigel Harrison	Parallel Lines						Pop	8295794	217	1	1	2	12	1978	2/28/2019 9:05 PM	3/30/2018 7:56 PM	256	44100		Apple Music AAC audio file			9	3/7/2019 7:52 PM	5	2/19/2019 2:03 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Blondie\Parallel Lines\02 One Way or Another.m4p
Mr. Roboto	Styx	Dennis DeYoung	Greatest Hits						Rock	12072805	330	1	1	15	16	1983	3/9/2019 8:55 AM	3/10/2019 7:19 PM	256	44100		Apple Music AAC audio file			1	3/9/2019 6:35 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Greatest Hits\15 Mr. Roboto.m4p
World In My Eyes	Depeche Mode	Martin L. Gore	Violator (Remastered) [Bonus Track Version]						Rock	10122270	267	1	1	1	15	1990	2/28/2019 9:05 PM	3/24/2018 9:22 AM	256	44100		Apple Music AAC audio file			12	3/9/2019 10:56 AM	9	3/7/2019 6:09 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Depeche Mode\Violator (Remastered) [Bonus Track Versi\01 World In My Eyes.m4p
Love Missile F1-11	Sigue Sigue Sputnik	Anthony James, Martin Degville & Neal Whitmore	21st Century Boys - The Best Of						Rock	8445923	224	1	1	2	20	1986	3/7/2019 8:55 PM	3/23/2018 9:52 AM	256	44100		Apple Music AAC audio file			25	11/5/2018 8:14 PM	9	3/11/2019 10:31 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\21st Century Boys - The Best Of\02 Love Missile F1-11.m4p
Do You Believe In Love	Huey Lewis & The News		Greatest Hits (Remastered)						Rock	7410474	207	1	1	8	21	1982	3/9/2019 8:55 AM	3/24/2018 8:19 AM	256	44100		Apple Music AAC audio file			2	3/9/2019 6:05 AM	9	11/10/2018 7:40 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Greatest Hits (Remastered)\08 Do You Believe In Love.m4p
The Final Countdown	Europe	Joey Tempest	The Final Countdown (Expanded Edition)						Rock	10734573	310	1	1	1	13	1986	2/28/2019 9:05 PM	4/4/2018 9:33 AM	256	44100		Apple Music AAC audio file			6	3/4/2019 10:04 PM	5	11/24/2018 9:43 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Europe\The Final Countdown (Expanded Edition)\01 The Final Countdown.m4p
Am I Evil	Diamond Head	Diamond Head	Metal From the Vault - New Wave of British Heavy Metal						Metal	16740928	468	1	1	1	11	2017	2/28/2019 9:05 PM	3/10/2019 7:19 PM	256	44100		Apple Music AAC audio file			2	3/7/2019 2:29 PM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Metal From the Vault - New Wave of Briti\01 Am I Evil.m4p
The Camera Eye	Rush	Geddy Lee, Alex Lifeson & Neil Peart	Moving Pictures (Remastered)						Rock	23347990	658	1	1	5	7	1981	2/28/2019 9:06 PM	2/4/2018 12:57 PM	256	44100		Apple Music AAC audio file			14	3/9/2019 6:57 AM	5	3/1/2019 7:04 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Rush\Moving Pictures (Remastered)\05 The Camera Eye.m4p
Edge of Seventeen	Stevie Nicks	Stevie Nicks	Crystal Visions... The Very Best of Stevie Nicks (Bonus Version)						Rock	13136638	329	1	1	1	17	1981	3/4/2019 12:50 PM	9/7/2018 10:28 AM	256	44100		Apple Music AAC audio file			2	3/9/2019 6:26 AM	3	3/3/2019 6:12 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Crystal Visions... The Very Best of Stev\01 Edge of Seventeen.m4p
